7356 20
known	-0.190	-3.034	0.876	0.932	-3.029	0.552	2.267	-1.310	-2.209	-0.812	0.359	0.932	1.584	-0.706	-0.715	-1.468	-3.509	0.432	0.709	3.871
called	2.311	-4.669	-0.188	0.228	-3.435	-0.706	0.988	-0.295	-2.031	2.074	-0.062	0.927	0.787	-1.071	1.957	0.260	-1.123	-1.171	1.044	3.461
out	-0.786	1.000	-0.144	-5.333	-0.744	-0.502	-2.262	5.416	2.278	1.046	2.672	2.687	-0.475	1.636	-0.580	3.049	1.843	-0.992	-0.802	1.512
well	-0.729	-0.134	2.904	-1.834	-4.521	0.554	-1.824	-0.689	-0.538	-0.987	0.124	0.569	-0.152	2.500	-1.334	-0.197	-0.496	1.465	0.022	1.237
then	1.469	-0.119	-1.128	-4.100	0.781	1.470	-2.486	4.310	1.528	4.257	1.785	2.331	-2.413	-1.181	0.421	1.660	3.823	-0.776	-1.481	2.776
any	0.836	-2.005	4.622	-1.929	-3.964	-2.119	-6.666	1.879	3.728	3.184	0.100	0.586	-0.043	-0.035	2.558	-2.353	3.376	-1.272	-3.582	1.420
system	0.585	-1.172	2.123	0.718	-1.495	-3.252	-0.802	4.211	-6.078	-0.004	-3.744	-2.324	-0.196	2.063	3.622	-4.640	5.362	-0.925	-1.680	-0.830
do	2.025	-1.419	4.670	-4.040	-4.406	-1.802	-9.043	-2.859	1.672	3.114	2.251	5.200	0.112	0.184	1.024	0.662	1.548	0.698	-1.202	1.493
th	-2.814	-5.863	-5.536	3.209	0.925	2.284	6.626	4.169	-5.352	-4.015	-1.436	-0.328	1.763	-2.369	-2.998	-0.428	-3.907	7.465	-3.682	3.254
we	4.545	2.197	3.365	-2.185	-1.924	1.221	-9.397	-0.499	3.269	1.909	3.545	6.191	-2.330	-1.929	0.292	2.399	8.310	1.303	-2.411	4.165
often	0.982	-2.838	4.389	-1.985	-7.267	-0.113	-1.917	-0.776	1.765	-1.037	0.452	-3.986	0.561	3.535	2.053	-0.108	-1.205	-0.331	-1.054	1.631
state	-3.049	-0.496	-1.448	5.763	-0.132	0.849	-5.812	4.913	-0.895	3.042	-5.654	-0.949	-1.134	-1.175	1.202	-1.100	-1.287	-1.817	1.931	-0.626
where	-0.847	-0.735	0.465	-2.062	-3.215	1.135	-2.080	2.483	0.097	2.175	-1.193	2.104	0.458	-1.624	-0.579	1.655	1.006	-0.301	0.193	2.333
while	-0.826	-0.744	1.860	-2.997	-3.043	-0.526	-1.589	2.903	0.870	1.488	0.050	-0.580	0.222	1.421	-0.795	1.096	-2.185	0.171	-1.404	0.975
history	-1.909	-2.249	0.220	9.233	-1.302	-0.719	3.333	0.545	-1.653	-6.440	-1.982	2.710	2.804	0.626	-1.649	-2.142	0.328	4.146	0.192	-0.813
being	-0.062	0.195	2.859	-1.627	-3.403	0.660	-1.865	3.645	2.560	0.251	2.539	-1.506	-1.024	0.474	0.802	-0.723	-0.180	-0.112	-0.810	1.566
them	0.244	0.624	5.864	-5.686	-1.383	-0.789	-4.003	4.307	3.317	0.569	2.424	0.609	-3.438	1.206	2.687	2.951	1.438	1.639	0.946	0.923
her	-2.941	5.376	0.712	-2.042	-1.662	1.900	-0.030	0.961	10.918	3.738	4.791	-1.885	-4.955	-0.668	-4.620	4.779	-2.609	1.268	-1.412	0.304
city	-7.075	0.040	-1.051	1.438	1.635	5.660	0.966	6.077	-1.777	-2.936	-6.144	3.732	-0.014	1.533	-1.437	1.962	0.891	1.276	6.042	0.088
made	-2.698	-2.638	-0.174	-3.358	-3.019	-1.974	0.726	2.191	0.157	1.355	1.727	0.825	0.049	1.537	-3.059	-2.057	-1.752	-0.076	-1.155	2.712
both	-0.083	-2.446	1.692	-0.393	-3.489	-0.389	-1.772	2.237	0.354	1.336	-0.978	-0.894	1.104	1.468	1.146	0.376	-2.209	0.643	-1.771	1.297
like	2.611	-1.946	2.776	-3.318	-4.942	-0.496	-1.508	-2.936	-0.639	1.173	3.551	1.978	1.794	2.115	-1.264	1.856	-0.417	-0.363	1.491	3.329
english	1.321	-3.976	1.233	5.452	-2.101	2.440	4.342	-5.855	-2.264	4.033	0.230	0.146	-1.926	0.135	1.876	-1.577	-3.059	8.391	0.821	-0.920
under	-2.745	-3.842	-0.631	1.068	0.949	-1.550	-0.360	5.317	-0.477	3.512	-2.429	0.048	-1.693	-1.322	-0.568	-3.368	-2.098	-0.143	-0.014	-0.559
number	-2.863	-2.609	2.419	-1.684	-0.212	1.930	-1.662	0.474	0.724	-0.652	-3.892	-0.696	3.904	1.576	3.982	-1.131	4.470	1.857	-4.680	2.301
:	3.061	1.166	-1.362	-1.299	-5.027	1.856	-3.639	-5.850	2.788	-2.620	-1.683	9.508	-8.402	-2.556	-1.380	-2.369	6.192	-5.270	-0.562	-0.240
him	1.197	4.304	3.403	-3.598	2.343	1.064	-0.673	4.984	9.854	2.292	4.575	1.438	-8.454	1.061	-3.227	4.337	-1.841	-0.544	0.347	1.074
)	-1.361	2.950	1.345	-6.243	-6.390	4.066	-6.252	-5.756	2.428	-0.378	-0.540	6.516	-5.168	-2.690	-2.237	-2.709	7.407	-2.521	-0.779	0.389
government	-5.006	-0.619	0.167	2.670	3.521	1.943	-6.967	8.501	-0.118	2.285	-4.317	-4.053	-4.498	2.933	0.947	-5.947	-2.688	-0.859	0.940	-6.512
later	-1.794	-0.144	-1.033	-1.237	0.581	0.293	3.051	4.124	1.328	-0.731	3.707	1.941	-3.372	0.539	-2.118	-1.500	-2.766	3.365	-2.501	2.718
university	-3.810	5.976	-3.709	8.286	0.052	0.232	-0.916	-4.069	-5.330	-0.422	-8.312	8.752	-3.348	-1.991	-4.057	1.265	-0.387	1.995	0.788	3.153
since	-2.947	-2.317	-0.705	-0.394	-1.058	1.625	-2.299	3.950	-0.605	-0.483	0.491	0.767	1.988	-0.176	-0.004	-3.802	-0.220	2.711	-4.282	0.993
what	4.460	1.320	3.770	0.988	-2.851	0.212	-6.917	0.673	3.124	-0.741	4.808	3.287	-2.088	0.999	-0.295	0.170	2.983	0.698	-1.224	2.542
because	0.278	-1.585	3.835	-3.586	-4.319	-1.334	-5.185	2.630	1.223	1.886	2.199	-0.891	1.543	0.237	-0.404	-0.921	-0.318	-0.098	-2.773	2.637
name	2.004	-3.413	2.211	3.485	-1.479	5.508	2.584	-1.058	2.095	2.146	4.694	1.550	-2.310	-1.252	3.812	-3.659	0.317	2.094	4.267	2.065
(	-0.917	2.475	1.614	-6.715	-6.775	2.850	-5.144	-6.130	1.744	-0.468	-1.973	7.763	-3.661	-3.981	-2.388	-1.902	6.173	-2.391	-1.811	-1.055
part	-0.434	-1.671	0.395	1.915	-2.911	1.679	-1.107	4.140	-1.663	-0.522	-1.323	0.238	-0.388	-0.580	0.026	-0.616	0.756	1.814	0.760	0.316
year	-6.007	0.348	-5.714	-1.435	-0.153	5.694	-0.800	2.966	4.071	-1.179	-0.782	3.455	-1.052	-2.421	0.100	-1.120	2.358	4.264	-6.673	-0.794
through	-1.014	-1.065	-1.278	-1.362	-3.420	-4.265	-2.436	5.763	-1.853	0.280	0.240	-0.338	0.372	0.548	-1.737	2.828	2.047	0.305	0.102	0.332
